<<<<<<< HEAD
Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.077445,0.11132,0.20156,0,0,0,1.0167,0.001835,1.2918E-06,2.9491E-07,0.0068512,-7.4114E-08,0.0051708,0,0,0,0,0,0,package://Aura_robot/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Aura_robot/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,1.4647E-05,0.018092,0.0010409,0,0,0,0.15819,6.1613E-05,2.1214E-09,-5.1761E-08,0.00010881,7.5578E-08,6.2579E-05,0,0,0,0,0,0,package://Aura_robot/meshes/link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Aura_robot/meshes/link_1.STL,,Link_0_Assem1-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0.13389,-0.20157,0.16797,1.5708,0,0.12516,base_link,0,1,0,100,3,-3.14,3.14,,,,,,,,
link_2,0.048496,0.02011,0.004,0,0,0,0.01313,9.796E-06,-3.9556E-06,1.7073E-20,1.7695E-05,-1.027E-20,1.2521E-05,0,0,0,0,0,0,package://Aura_robot/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Aura_robot/meshes/link_2.STL,,Link_1_Assem1-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,0.01,0.040197,0,0,0,1.3465,link_1,0,0,1,100,3,-3,3,,,,,,,,
link_3,0.0022846,-0.0012213,0.0014929,0,0,0,0.042409,9.2364E-06,-1.4625E-07,-5.1761E-08,1.5622E-05,7.5578E-08,9.8257E-06,0,0,0,0,0,0,package://Aura_robot/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Aura_robot/meshes/link_3.STL,,Link_2_Assem1.SLDASM-1,Origin_joint_3,Axis_joint_3,joint_3,revolute,0.096991,0.04022,0,0,0,-1.3141,link_2,0,0,1,100,3,-3,3,,,,,,,,
link_4,0.012429,-0.015197,-0.0030859,0,0,0,0.066899,1.1055E-05,-7.2357E-08,9.5858E-08,1.7331E-05,7.2357E-08,1.1055E-05,0,0,0,0,0,0,package://Aura_robot/meshes/link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Aura_robot/meshes/link_4.STL,,Link_3_Assem1-1,Origin_joint_4,Axis_joint_4,joint_4,revolute,0.086605,0.0023025,0,3.1416,0,0.25822,link_3,0,0,1,100,3,-3,3,,,,,,,,
gripper,0.034516,0.0072825,-0.0068125,0,0,0,0.052377,9.5021E-06,-6.3691E-08,1.6795E-06,1.0667E-05,-4.0537E-08,8.5903E-06,0,0,0,0,0,0,package://Aura_robot/meshes/gripper.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Aura_robot/meshes/gripper.STL,,gripper_Assmbly-1/Servo_motor-1;left_gripper_blade-1;gripper_Assmbly-1/gripper_clamp-1;right_gripper_blade-1,Origin_gripper_joint,Axis_gripper_joint,gripper_joint,revolute,0.032619,-0.030395,-0.014,-3.139,0,0,link_4,1,0,0,100,3,-3.14,3.14,,,,,,,,
=======
Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.077445,0.11132,0.20156,0,0,0,1.0167,0.001835,1.2918E-06,2.9491E-07,0.0068512,-7.4114E-08,0.0051708,0,0,0,0,0,0,package://Aura_robot/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Aura_robot/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,1.4647E-05,0.018092,0.0010409,0,0,0,0.15819,6.1613E-05,2.1214E-09,-5.1761E-08,0.00010881,7.5578E-08,6.2579E-05,0,0,0,0,0,0,package://Aura_robot/meshes/link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Aura_robot/meshes/link_1.STL,,Link_0_Assem1-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0.13389,-0.20157,0.16797,1.5708,0,0.12516,base_link,0,1,0,100,3,-3.14,3.14,,,,,,,,
